"","Year","HomeTeam","AwayTeam","HTHG","HTAG","FTHG","FTAG"
"1",2021,"Brentford","Arsenal",1,0,2,0
"2",2021,"Man United","Leeds",1,0,5,1
"3",2021,"Burnley","Brighton",1,0,1,2
"4",2021,"Chelsea","Crystal Palace",2,0,3,0
"5",2021,"Everton","Southampton",0,1,3,1
"6",2021,"Leicester","Wolves",1,0,1,0
"7",2021,"Watford","Aston Villa",2,0,3,2
"8",2021,"Norwich","Liverpool",0,1,0,3
"9",2021,"Newcastle","West Ham",2,1,2,4
"10",2021,"Tottenham","Man City",0,0,1,0
"11",2021,"Liverpool","Burnley",1,0,2,0
"12",2021,"Aston Villa","Newcastle",1,0,2,0
"13",2021,"Crystal Palace","Brentford",0,0,0,0
"14",2021,"Leeds","Everton",1,1,2,2
"15",2021,"Man City","Norwich",2,0,5,0
"16",2021,"Brighton","Watford",2,0,2,0
"17",2021,"Southampton","Man United",1,0,1,1
"18",2021,"Wolves","Tottenham",0,1,0,1
"19",2021,"Arsenal","Chelsea",0,2,0,2
"20",2021,"West Ham","Leicester",1,0,4,1
"21",2021,"Man City","Arsenal",3,0,5,0
"22",2021,"Aston Villa","Brentford",1,1,1,1
"23",2021,"Brighton","Everton",0,1,0,2
"24",2021,"Newcastle","Southampton",0,0,2,2
"25",2021,"Norwich","Leicester",1,1,1,2
"26",2021,"West Ham","Crystal Palace",1,0,2,2
"27",2021,"Liverpool","Chelsea",1,1,1,1
"28",2021,"Burnley","Leeds",0,0,1,1
"29",2021,"Tottenham","Watford",1,0,1,0
"30",2021,"Wolves","Man United",0,0,0,1
"31",2021,"Crystal Palace","Tottenham",0,0,3,0
"32",2021,"Arsenal","Norwich",0,0,1,0
"33",2021,"Brentford","Brighton",0,0,0,1
"34",2021,"Leicester","Man City",0,0,0,1
"35",2021,"Man United","Newcastle",1,0,4,1
"36",2021,"Southampton","West Ham",0,0,0,0
"37",2021,"Watford","Wolves",0,0,0,2
"38",2021,"Chelsea","Aston Villa",1,0,3,0
"39",2021,"Leeds","Liverpool",0,1,0,3
"40",2021,"Everton","Burnley",0,0,3,1
"41",2021,"Newcastle","Leeds",1,1,1,1
"42",2021,"Wolves","Brentford",0,2,0,2
"43",2021,"Burnley","Arsenal",0,1,0,1
"44",2021,"Liverpool","Crystal Palace",1,0,3,0
"45",2021,"Man City","Southampton",0,0,0,0
"46",2021,"Norwich","Watford",1,1,1,3
"47",2021,"Aston Villa","Everton",0,0,3,0
"48",2021,"Brighton","Leicester",1,0,2,1
"49",2021,"West Ham","Man United",1,1,1,2
"50",2021,"Tottenham","Chelsea",0,0,0,3
"51",2021,"Chelsea","Man City",0,0,0,1
"52",2021,"Man United","Aston Villa",0,0,0,1
"53",2021,"Everton","Norwich",1,0,2,0
"54",2021,"Leeds","West Ham",1,0,1,2
"55",2021,"Leicester","Burnley",1,2,2,2
"56",2021,"Watford","Newcastle",0,1,1,1
"57",2021,"Brentford","Liverpool",1,1,3,3
"58",2021,"Southampton","Wolves",0,0,0,1
"59",2021,"Arsenal","Tottenham",3,0,3,1
"60",2021,"Crystal Palace","Brighton",1,0,1,1
"61",2021,"Man United","Everton",1,0,1,1
"62",2021,"Burnley","Norwich",0,0,0,0
"63",2021,"Chelsea","Southampton",1,0,3,1
"64",2021,"Leeds","Watford",1,0,1,0
"65",2021,"Wolves","Newcastle",1,1,2,1
"66",2021,"Brighton","Arsenal",0,0,0,0
"67",2021,"Crystal Palace","Leicester",0,2,2,2
"68",2021,"Tottenham","Aston Villa",1,0,2,1
"69",2021,"West Ham","Brentford",0,1,1,2
"70",2021,"Liverpool","Man City",0,0,2,2
"71",2021,"Watford","Liverpool",0,2,0,5
"72",2021,"Aston Villa","Wolves",0,0,2,3
"73",2021,"Leicester","Man United",1,1,4,2
"74",2021,"Man City","Burnley",1,0,2,0
"75",2021,"Norwich","Brighton",0,0,0,0
"76",2021,"Southampton","Leeds",0,0,1,0
"77",2021,"Brentford","Chelsea",0,1,0,1
"78",2021,"Everton","West Ham",0,0,0,1
"79",2021,"Newcastle","Tottenham",1,3,2,3
"80",2021,"Arsenal","Crystal Palace",1,0,2,2
"81",2021,"Arsenal","Aston Villa",2,0,3,1
"82",2021,"Chelsea","Norwich",3,0,7,0
"83",2021,"Crystal Palace","Newcastle",0,0,1,1
"84",2021,"Everton","Watford",1,1,2,5
"85",2021,"Leeds","Wolves",0,1,1,1
"86",2021,"Southampton","Burnley",1,1,2,2
"87",2021,"Brighton","Man City",0,3,1,4
"88",2021,"Brentford","Leicester",0,1,1,2
"89",2021,"West Ham","Tottenham",0,0,1,0
"90",2021,"Man United","Liverpool",0,4,0,5
"91",2021,"Leicester","Arsenal",0,2,0,2
"92",2021,"Burnley","Brentford",3,0,3,1
"93",2021,"Liverpool","Brighton",2,1,2,2
"94",2021,"Man City","Crystal Palace",0,1,0,2
"95",2021,"Newcastle","Chelsea",0,0,0,3
"96",2021,"Watford","Southampton",0,1,0,1
"97",2021,"Tottenham","Man United",0,1,0,3
"98",2021,"Norwich","Leeds",0,0,1,2
"99",2021,"Aston Villa","West Ham",1,2,1,4
"100",2021,"Wolves","Everton",2,0,2,1
"101",2021,"Southampton","Aston Villa",1,0,1,0
"102",2021,"Man United","Man City",0,2,0,2
"103",2021,"Brentford","Norwich",0,2,1,2
"104",2021,"Chelsea","Burnley",1,0,1,1
"105",2021,"Crystal Palace","Wolves",0,0,2,0
"106",2021,"Brighton","Newcastle",1,0,1,1
"107",2021,"Arsenal","Watford",0,0,1,0
"108",2021,"Everton","Tottenham",0,0,0,0
"109",2021,"Leeds","Leicester",1,1,1,1
"110",2021,"West Ham","Liverpool",1,1,3,2
"111",2021,"Leicester","Chelsea",0,2,0,3
"112",2021,"Aston Villa","Brighton",0,0,2,0
"113",2021,"Burnley","Crystal Palace",2,3,3,3
"114",2021,"Newcastle","Brentford",2,2,3,3
"115",2021,"Norwich","Southampton",1,1,2,1
"116",2021,"Watford","Man United",2,0,4,1
"117",2021,"Wolves","West Ham",0,0,1,0
"118",2021,"Liverpool","Arsenal",1,0,4,0
"119",2021,"Man City","Everton",1,0,3,0
"120",2021,"Tottenham","Leeds",0,1,2,1
"121",2021,"Arsenal","Newcastle",0,0,2,0
"122",2021,"Crystal Palace","Aston Villa",0,1,1,2
"123",2021,"Liverpool","Southampton",3,0,4,0
"124",2021,"Norwich","Wolves",0,0,0,0
"125",2021,"Brighton","Leeds",0,0,0,0
"126",2021,"Brentford","Everton",1,0,1,0
"127",2021,"Leicester","Watford",3,1,4,2
"128",2021,"Man City","West Ham",1,0,2,1
"129",2021,"Chelsea","Man United",0,0,1,1
"130",2021,"Newcastle","Norwich",0,0,1,1
"131",2021,"Leeds","Crystal Palace",0,0,1,0
"132",2021,"Southampton","Leicester",2,1,2,2
"133",2021,"Watford","Chelsea",1,1,1,2
"134",2021,"West Ham","Brighton",1,0,1,1
"135",2021,"Wolves","Burnley",0,0,0,0
"136",2021,"Aston Villa","Man City",0,2,1,2
"137",2021,"Everton","Liverpool",1,2,1,4
"138",2021,"Tottenham","Brentford",1,0,2,0
"139",2021,"Man United","Arsenal",1,1,3,2
"140",2021,"West Ham","Chelsea",1,2,3,2
"141",2021,"Newcastle","Burnley",1,0,1,0
"142",2021,"Southampton","Brighton",1,0,1,1
"143",2021,"Wolves","Liverpool",0,0,0,1
"144",2021,"Watford","Man City",0,2,1,3
"145",2021,"Leeds","Brentford",1,0,2,2
